time,open,high,low,close
2026-05-26 22:05:00,4517.48,4520.36,4514.7,4515.57
2026-05-26 22:10:00,4515.59,4515.67,4507.57,4511.14
2026-05-26 22:15:00,4511.11,4514.65,4508.36,4513.95
2026-05-26 22:20:00,4513.95,4517.46,4512.23,4515.64
2026-05-26 22:25:00,4515.64,4517.83,4514.68,4517.36
2026-05-26 22:30:00,4517.35,4521.85,4516.55,4517.34
2026-05-26 22:35:00,4517.32,4524.91,4517.26,4522.03
2026-05-26 22:40:00,4522.03,4523.81,4519.43,4521.18
2026-05-26 22:45:00,4521.49,4522.06,4518.27,4518.97
2026-05-26 22:50:00,4518.97,4519.59,4515.41,4515.98
2026-05-26 22:55:00,4515.94,4516.23,4512.44,4515.37
2026-05-26 23:00:00,4515.37,4515.62,4507.95,4511.57
2026-05-26 23:05:00,4511.56,4514.45,4508.6,4510.67
2026-05-26 23:10:00,4510.35,4512.64,4508.56,4509.25
2026-05-26 23:15:00,4509.25,4510.52,4504.82,4508.38
2026-05-26 23:20:00,4508.38,4508.84,4504.75,4506.14
2026-05-26 23:25:00,4506.14,4508.49,4504.67,4505.96
2026-05-26 23:30:00,4505.96,4508.46,4503.4,4505.72
2026-05-26 23:35:00,4505.72,4507.57,4502.03,4507.53
2026-05-26 23:40:00,4507.53,4509.01,4506.29,4508.3
2026-05-26 23:45:00,4508.02,4509.55,4506.22,4506.56
2026-05-26 23:50:00,4506.56,4510.93,4505.83,4509.49
2026-05-26 23:55:00,4509.65,4509.8,4505.94,4506.5
2026-05-27 00:00:00,4506.48,4508.51,4505.1,4506.22
2026-05-27 00:05:00,4506.21,4506.3,4502.09,4503.23
2026-05-27 00:10:00,4503.23,4503.49,4500.24,4501.49
2026-05-27 00:15:00,4501.49,4505.69,4499.41,4504.89
2026-05-27 00:20:00,4504.89,4506.23,4502.37,4506.2
2026-05-27 00:25:00,4506.2,4508.79,4505.56,4507.74
2026-05-27 00:30:00,4508.06,4511.16,4507.11,4509.45
2026-05-27 00:35:00,4509.44,4510.78,4507.9,4508.41
2026-05-27 00:40:00,4508.28,4508.96,4505.87,4506.3
2026-05-27 00:45:00,4506.3,4507.96,4502.94,4503.08
2026-05-27 00:50:00,4503.07,4505.96,4502.83,4504.82
2026-05-27 00:55:00,4504.84,4505.87,4504.21,4504.75
2026-05-27 01:00:00,4504.76,4507.47,4504.01,4505.63
2026-05-27 01:05:00,4505.63,4505.8,4502.96,4504.26
2026-05-27 01:10:00,4504.27,4504.88,4503.28,4503.63
2026-05-27 01:15:00,4503.62,4504.76,4503.09,4504.47
2026-05-27 01:20:00,4504.47,4506.69,4503.89,4506.63
2026-05-27 01:25:00,4506.63,4507.52,4499.92,4501.13
2026-05-27 01:30:00,4501.12,4501.81,4497.84,4500.27
2026-05-27 01:35:00,4500.27,4501.13,4496.72,4498.83
2026-05-27 01:40:00,4498.83,4499.83,4496.77,4498.33
2026-05-27 01:45:00,4498.33,4501.0,4498.14,4500.55
2026-05-27 01:50:00,4500.55,4501.22,4495.74,4496.49
2026-05-27 01:55:00,4496.5,4496.99,4489.6,4490.8
2026-05-27 02:00:00,4490.8,4493.37,4484.54,4487.79
2026-05-27 02:05:00,4487.79,4489.32,4482.08,4488.97
2026-05-27 02:10:00,4488.97,4491.04,4485.21,4487.41
2026-05-27 02:15:00,4487.09,4490.74,4486.2,4490.33
2026-05-27 02:20:00,4490.33,4493.07,4490.13,4492.41
2026-05-27 02:25:00,4492.4,4496.04,4491.76,4495.24
2026-05-27 02:30:00,4495.24,4498.44,4493.87,4497.07
2026-05-27 02:35:00,4497.07,4497.4,4494.97,4496.21
2026-05-27 02:40:00,4496.21,4496.73,4494.88,4495.99
2026-05-27 02:45:00,4496.0,4498.45,4495.78,4497.43
2026-05-27 02:50:00,4497.32,4499.58,4497.16,4498.73
2026-05-27 02:55:00,4498.72,4499.55,4497.89,4498.98
2026-05-27 03:00:00,4498.98,4501.15,4497.41,4499.53
2026-05-27 03:05:00,4499.54,4500.64,4498.47,4500.61
2026-05-27 03:10:00,4500.62,4501.18,4498.74,4499.0
2026-05-27 03:15:00,4499.0,4504.72,4499.0,4502.22
2026-05-27 03:20:00,4502.21,4504.11,4501.94,4503.34
2026-05-27 03:25:00,4503.34,4503.59,4500.98,4502.01
2026-05-27 03:30:00,4502.02,4503.65,4500.55,4503.29
2026-05-27 03:35:00,4503.28,4504.53,4502.82,4503.53
2026-05-27 03:40:00,4503.53,4505.98,4503.2,4504.86
2026-05-27 03:45:00,4504.9,4508.17,4503.89,4507.41
2026-05-27 03:50:00,4507.41,4507.97,4505.53,4505.73
2026-05-27 03:55:00,4505.74,4509.98,4505.5,4508.64
2026-05-27 04:00:00,4508.74,4510.56,4507.05,4507.51
2026-05-27 04:05:00,4507.52,4509.03,4506.17,4506.95
2026-05-27 04:10:00,4506.94,4507.99,4506.25,4507.73
2026-05-27 04:15:00,4507.74,4509.9,4507.73,4508.32
2026-05-27 04:20:00,4508.31,4509.16,4507.37,4508.61
2026-05-27 04:25:00,4508.62,4508.84,4506.17,4506.42
2026-05-27 04:30:00,4506.43,4507.72,4506.25,4506.61
2026-05-27 04:35:00,4506.58,4508.34,4505.87,4508.26
2026-05-27 04:40:00,4508.24,4509.8,4507.66,4508.72
2026-05-27 04:45:00,4508.72,4510.24,4505.86,4506.53
2026-05-27 06:05:00,4500.89,4510.16,4494.11,4503.87
2026-05-27 06:10:00,4504.23,4508.76,4500.43,4504.68
2026-05-27 06:15:00,4504.64,4507.39,4503.81,4506.76
2026-05-27 06:20:00,4506.76,4509.96,4503.55,4504.88
2026-05-27 06:25:00,4504.88,4507.09,4502.15,4504.38
2026-05-27 06:30:00,4504.38,4505.9,4499.99,4500.15
2026-05-27 06:35:00,4500.15,4502.02,4497.81,4501.54
2026-05-27 06:40:00,4501.54,4503.32,4500.23,4500.42
2026-05-27 06:45:00,4500.42,4502.74,4499.31,4502.14
2026-05-27 06:50:00,4502.12,4506.95,4501.78,4506.73
2026-05-27 06:55:00,4506.73,4512.46,4506.31,4510.96
2026-05-27 07:00:00,4511.05,4513.7,4509.29,4510.83
2026-05-27 07:05:00,4510.82,4513.06,4509.35,4509.56
2026-05-27 07:10:00,4509.55,4510.12,4507.39,4508.76
2026-05-27 07:15:00,4508.76,4510.15,4507.73,4508.96
2026-05-27 07:20:00,4508.96,4509.5,4504.16,4505.41
2026-05-27 07:25:00,4505.74,4512.16,4505.41,4511.97
2026-05-27 07:30:00,4511.98,4516.63,4510.87,4515.09
2026-05-27 07:35:00,4515.09,4515.85,4512.32,4515.66
2026-05-27 07:40:00,4515.66,4526.88,4514.87,4526.29
2026-05-27 07:45:00,4526.29,4527.79,4520.13,4520.77
2026-05-27 07:50:00,4520.77,4522.83,4520.07,4520.9
2026-05-27 07:55:00,4520.9,4520.96,4518.35,4519.78
2026-05-27 08:00:00,4519.78,4525.87,4517.06,4520.87
2026-05-27 08:05:00,4520.55,4524.19,4519.51,4521.99
2026-05-27 08:10:00,4521.99,4522.73,4519.83,4521.94
2026-05-27 08:15:00,4521.94,4522.58,4519.8,4521.23
2026-05-27 08:20:00,4521.23,4521.57,4515.49,4516.05
2026-05-27 08:25:00,4516.05,4518.95,4513.88,4518.01
2026-05-27 08:30:00,4518.01,4520.79,4517.2,4519.43
2026-05-27 08:35:00,4519.44,4520.63,4517.34,4517.44
2026-05-27 08:40:00,4517.45,4519.37,4516.64,4518.77
2026-05-27 08:45:00,4518.77,4522.25,4518.35,4519.2
2026-05-27 08:50:00,4519.2,4519.32,4515.77,4516.77
2026-05-27 08:55:00,4516.77,4519.23,4514.44,4514.91
2026-05-27 09:00:00,4514.91,4517.96,4513.68,4515.77
2026-05-27 09:05:00,4515.77,4517.59,4512.4,4516.73
2026-05-27 09:10:00,4516.75,4520.98,4515.87,4519.22
2026-05-27 09:15:00,4519.21,4520.47,4515.41,4516.15
2026-05-27 09:20:00,4516.15,4521.12,4515.65,4518.84
2026-05-27 09:25:00,4518.84,4519.6,4514.15,4515.89
2026-05-27 09:30:00,4515.88,4517.17,4513.54,4515.12
2026-05-27 09:35:00,4515.12,4516.79,4511.23,4511.65
2026-05-27 09:40:00,4511.65,4513.82,4509.1,4509.78
2026-05-27 09:45:00,4509.78,4510.58,4506.59,4510.04
